MiniLab	11/14/2023	1:21:46 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (psig)	P2 (psig)	P3 (psig)	P4 (psig)	Fuel Flow  (gal/hr)	RPM	Thrust (lbs)
912.815	27.438	178.609	964.512	637.498	0.850	24.973	25.083	2.944	6.902	81400.000	26.470
913.816	27.479	178.832	965.754	638.314	0.852	24.987	25.105	2.945	6.892	81406.326	26.803
914.815	27.602	178.686	966.960	638.511	0.859	24.992	25.090	2.954	6.902	81415.871	26.767
915.815	27.669	178.718	967.138	638.160	0.857	24.977	25.078	2.949	6.902	81427.827	26.771
916.815	27.651	178.695	966.266	639.134	0.859	24.983	25.108	2.957	6.902	81429.194	26.699
917.815	27.484	178.751	967.630	639.890	0.856	25.022	25.143	2.948	6.902	81419.940	26.491
918.816	27.626	178.699	968.837	639.826	0.852	25.034	25.118	2.949	6.882	81455.856	26.549
919.815	27.436	178.804	969.206	640.272	0.854	25.028	25.103	2.968	6.812	81454.845	26.625
920.817	27.627	178.663	968.746	640.746	0.854	24.975	25.088	2.947	6.818	81450.485	26.403
921.818	27.585	178.911	966.484	641.281	0.852	24.989	25.097	2.946	6.851	81448.705	26.696
922.817	27.540	178.912	964.392	641.095	0.852	25.008	25.083	2.954	6.812	81441.271	26.787
923.818	27.497	178.709	962.807	642.603	0.848	24.992	25.099	2.950	6.872	81447.880	26.509
924.817	27.486	178.914	961.744	642.305	0.851	25.019	25.139	2.967	6.841	81467.448	27.190
925.817	27.568	178.740	960.310	642.348	0.851	25.002	25.097	2.953	6.842	81465.959	26.857
926.817	27.604	178.695	959.550	642.887	0.855	25.005	25.117	2.942	6.902	81460.483	26.882
927.817	27.493	178.512	958.698	643.552	0.847	25.007	25.109	2.950	6.882	81448.487	26.609
928.818	27.408	178.670	957.669	643.428	0.850	25.064	25.154	2.984	6.882	81462.885	26.910
929.817	27.476	178.709	965.327	642.401	0.846	24.959	25.089	2.961	6.882	81510.247	26.718
930.818	27.592	178.809	965.502	641.861	0.852	25.010	25.109	2.966	6.932	81494.773	27.091
931.817	27.475	178.813	964.101	641.777	0.852	25.042	25.143	2.952	6.852	81428.854	26.951
932.817	27.450	178.625	966.884	641.065	0.851	25.018	25.114	3.006	6.852	81421.000	26.671
933.818	27.600	178.725	973.734	639.135	0.853	25.005	25.089	2.984	6.872	81432.850	27.041
934.818	27.485	178.886	980.743	637.285	0.852	25.010	25.065	2.997	6.882	81416.712	26.787
935.818	27.558	178.904	987.035	634.041	0.850	25.055	25.111	3.010	6.872	81418.565	27.173
936.817	27.614	178.737	992.820	630.877	0.853	24.993	25.066	3.009	6.862	81401.197	26.984
937.819	27.612	178.630	995.999	628.227	0.861	24.976	25.055	3.016	6.892	81341.152	26.601
938.818	27.532	178.830	994.760	625.660	0.848	24.897	25.005	2.989	6.882	81287.003	26.805
939.819	27.665	178.656	984.743	624.573	0.856	24.938	25.028	2.984	6.872	81298.409	26.525
940.820	27.639	178.545	977.372	624.040	0.855	24.998	25.094	2.986	6.902	81322.272	26.830
941.820	27.444	178.674	972.645	624.802	0.852	24.972	25.095	2.970	6.872	81356.481	26.597
942.819	27.548	178.532	968.181	624.976	0.856	25.026	25.130	2.982	6.842	81373.419	26.794
943.819	27.536	178.646	964.917	624.951	0.855	25.036	25.157	2.997	6.852	81409.295	26.787
944.819	27.352	178.799	962.530	625.788	0.849	25.029	25.126	2.988	6.871	81403.592	27.084
945.820	27.265	178.674	961.199	626.714	0.853	25.076	25.171	2.984	6.882	81393.456	26.879
946.821	27.375	178.462	960.095	627.064	0.861	25.054	25.150	2.970	6.882	81404.700	26.502
947.822	27.200	178.827	962.943	628.540	0.856	25.045	25.152	2.978	6.891	81421.720	27.054
948.821	27.142	178.725	964.705	629.178	0.854	25.047	25.140	2.964	6.892	81447.540	26.721
949.822	27.404	178.699	964.293	630.152	0.858	24.994	25.103	2.968	6.892	81441.773	26.439
950.822	27.333	178.885	969.595	629.785	0.856	25.044	25.137	2.972	6.895	81447.621	26.924
951.821	27.393	178.616	972.882	629.568	0.854	24.996	25.108	2.965	6.901	81447.848	26.363
952.823	27.462	178.734	970.769	630.168	0.855	24.972	25.078	2.952	6.882	81443.010	26.231
953.822	27.441	178.989	969.898	631.523	0.848	25.006	25.087	2.952	6.892	81438.933	26.740
954.822	27.696	178.810	967.563	631.922	0.851	24.977	25.081	2.944	6.902	81450.970	26.293
955.823	27.849	178.927	968.278	632.783	0.856	24.988	25.110	2.956	6.912	81454.707	26.375
956.824	27.774	179.267	969.542	633.781	0.855	25.015	25.118	2.958	6.912	81458.905	26.704
957.824	27.752	179.226	968.982	634.133	0.847	24.995	25.087	2.957	6.921	81458.630	26.799
958.824	27.756	179.300	967.327	635.044	0.853	24.982	25.074	2.957	6.912	81447.856	26.911
959.823	27.819	179.294	972.201	634.565	0.847	25.050	25.123	2.994	6.902	81466.234	26.966
960.825	27.959	179.293	979.055	633.335	0.854	24.960	25.027	2.958	6.922	81484.766	26.835
961.825	27.783	179.304	976.291	632.937	0.857	24.961	25.068	2.979	6.912	81456.471	26.474
962.825	27.842	179.025	970.542	633.389	0.850	24.963	25.075	2.977	6.912	81429.679	26.237
963.825	27.835	179.215	967.010	633.196	0.851	24.955	25.062	2.958	6.882	81416.858	26.962
964.825	27.789	178.946	966.025	634.073	0.853	25.007	25.100	2.969	6.802	81410.783	26.324
965.825	27.656	179.020	964.476	634.514	0.853	25.058	25.159	2.962	6.802	81422.998	26.316
966.827	27.648	179.153	964.584	635.411	0.855	25.017	25.104	2.957	6.802	81451.771	26.671
967.828	27.706	178.918	965.004	635.606	0.848	25.003	25.103	2.948	6.802	81437.502	26.404
968.827	27.686	179.144	964.999	636.262	0.855	25.031	25.129	2.964	6.812	81438.925	26.959
969.827	27.673	179.186	965.085	636.765	0.852	24.992	25.120	2.952	6.861	81424.915	26.774
970.828	27.721	179.286	967.424	637.231	0.852	25.006	25.100	2.944	6.861	81426.306	26.879
971.829	27.752	179.297	969.247	637.555	0.850	25.026	25.109	2.974	6.882	81426.379	27.029
972.828	27.824	179.327	975.002	636.442	0.854	24.993	25.081	2.994	6.891	81433.627	26.872
973.829	27.933	179.388	980.353	634.930	0.852	24.950	25.039	2.967	6.892	81437.946	26.882
974.830	27.927	179.257	977.224	634.990	0.847	24.985	25.075	2.961	6.882	81418.977	26.446
975.830	28.073	179.175	975.450	634.610	0.844	25.002	25.101	2.980	6.862	81429.809	26.581
976.830	28.104	179.251	974.796	634.520	0.852	24.973	25.081	2.974	6.852	81440.551	26.367
977.829	27.961	179.274	971.827	635.675	0.846	24.988	25.088	2.942	6.852	81442.962	26.544
978.830	27.851	179.307	969.287	635.639	0.839	24.982	25.081	2.970	6.861	81454.084	26.654
979.829	27.800	179.163	965.889	636.440	0.852	24.983	25.084	2.961	6.892	81443.852	26.776
980.829	27.992	179.142	965.018	636.525	0.849	25.004	25.105	2.968	6.882	81442.638	27.000
981.830	27.926	179.171	965.019	637.076	0.853	25.025	25.116	2.962	6.872	81438.844	27.047
982.829	27.720	179.201	963.587	637.681	0.853	25.055	25.164	2.968	6.892	81438.286	26.881
983.830	27.842	179.055	965.912	637.615	0.856	25.039	25.140	2.981	6.892	81450.420	26.412
984.829	27.532	179.101	968.246	638.249	0.853	25.059	25.144	2.985	6.892	81450.072	26.490
985.829	27.473	179.117	974.101	636.810	0.852	25.064	25.152	3.003	6.891	81482.073	27.001
986.829	27.595	179.174	978.450	634.390	0.852	25.021	25.108	2.970	6.892	81490.566	27.148
987.829	27.691	178.964	975.371	633.952	0.854	25.017	25.121	2.979	6.852	81474.873	26.353
988.831	27.695	178.953	973.879	634.023	0.853	25.028	25.107	2.956	6.862	81457.708	26.545
989.831	27.591	179.074	973.380	634.208	0.849	24.986	25.106	2.961	6.882	81449.134	26.582
990.830	27.595	178.927	970.237	634.654	0.854	25.034	25.124	2.974	6.882	81446.594	26.363
991.830	27.671	179.133	968.833	634.298	0.857	25.023	25.141	2.946	6.852	81448.082	26.927
992.830	27.602	179.157	968.914	634.626	0.853	25.029	25.107	2.966	6.861	81439.208	26.815
993.831	27.645	178.816	967.526	635.416	0.854	25.029	25.109	2.989	6.931	81447.467	26.364
994.831	27.487	178.948	966.791	635.717	0.847	25.040	25.126	2.959	6.940	81428.725	26.569
995.832	27.509	179.021	965.253	636.031	0.854	25.047	25.113	3.002	6.935	81422.326	26.865
996.831	27.437	178.688	969.191	634.939	0.855	25.091	25.163	3.007	6.923	81416.599	26.392
997.831	27.346	178.835	976.702	633.671	0.849	25.059	25.135	3.007	6.901	81418.961	26.525
998.831	27.289	178.840	982.423	630.437	0.850	25.028	25.084	2.999	6.892	81413.129	26.755
999.832	27.542	178.767	984.585	628.973	0.847	25.021	25.083	3.013	6.872	81357.912	26.985
1000.833	27.425	178.544	985.066	627.058	0.847	24.983	25.069	2.973	6.862	81353.075	26.475
1001.833	27.582	178.674	975.051	626.747	0.851	24.931	25.003	2.974	6.852	81358.778	26.887
1002.833	27.687	178.594	967.093	627.160	0.843	24.938	25.011	2.978	6.852	81353.593	26.613
1003.832	27.630	178.869	963.612	627.681	0.843	24.958	25.060	2.968	6.861	81350.317	26.878
1004.832	27.815	178.677	960.139	627.909	0.852	24.993	25.071	2.963	6.772	81362.119	26.615
1005.833	27.849	178.805	959.270	628.217	0.847	25.017	25.099	2.982	6.792	81449.336	27.063
1006.832	27.893	178.727	957.175	629.244	0.852	25.018	25.127	2.974	6.792	81432.664	26.771
1007.832	27.648	178.951	957.448	629.893	0.852	24.980	25.048	2.971	6.791	81416.793	26.893
1008.832	27.705	178.805	958.384	630.766	0.850	24.989	25.076	2.963	6.852	81409.052	26.518
1009.833	27.862	178.849	957.492	631.862	0.849	25.015	25.111	2.956	6.852	81413.897	26.486
1010.832	27.837	179.032	957.747	632.171	0.857	24.983	25.063	2.951	6.871	81431.443	26.816
1011.833	27.935	178.952	957.981	633.488	0.860	25.045	25.119	2.966	6.892	81443.447	26.776
1012.832	27.641	178.854	961.314	633.709	0.858	25.017	25.118	2.968	6.882	81458.363	26.300
1013.832	27.586	179.027	962.319	634.137	0.851	25.085	25.162	2.969	6.882	81447.613	26.804
1014.833	27.508	179.016	961.626	634.277	0.856	25.097	25.206	2.975	6.902	81445.833	26.934
1015.834	27.448	178.817	962.613	635.288	0.852	25.036	25.115	2.953	6.861	81439.475	26.425
1016.833	27.468	178.782	965.520	636.089	0.856	25.051	25.141	2.971	6.862	81441.142	26.203
1017.834	27.458	178.893	967.136	635.775	0.851	25.027	25.094	2.951	6.882	81450.954	26.816
1018.833	27.389	178.891	968.697	636.328	0.854	25.046	25.123	2.964	6.882	81447.492	26.601
1019.833	27.473	178.738	968.678	637.362	0.855	25.078	25.170	2.963	6.902	81442.646	26.092
1020.834	27.439	178.712	967.935	637.817	0.853	25.025	25.145	2.967	6.912	81445.971	25.967
1021.834	27.367	178.854	965.186	638.170	0.855	25.062	25.143	2.959	6.892	81425.182	26.454
1022.834	27.386	178.743	964.238	639.186	0.854	25.077	25.173	2.960	6.912	81413.404	26.504
1023.834	27.547	178.817	965.023	639.321	0.856	25.051	25.132	2.943	6.892	81423.159	26.308
1024.833	27.457	178.821	965.081	640.088	0.857	25.028	25.112	2.947	6.902	81415.386	26.303
1025.834	27.439	178.993	966.233	640.306	0.860	25.010	25.099	2.945	6.872	81411.988	26.597
1026.834	27.540	178.798	968.687	640.355	0.855	25.086	25.182	2.960	6.868	81426.654	26.366
1027.833	27.481	178.759	969.805	641.013	0.855	25.061	25.149	2.964	6.842	81433.400	26.205
1028.834	27.323	178.974	968.787	641.477	0.862	25.033	25.118	2.966	6.842	81431.540	26.770
1029.833	27.284	178.876	967.039	640.791	0.849	25.078	25.176	2.954	6.822	81416.235	26.622
1030.834	27.313	178.790	965.650	641.279	0.855	25.074	25.156	2.961	6.828	81416.680	26.298
1031.833	27.436	178.802	967.533	640.764	0.855	25.087	25.143	2.991	6.861	81436.321	26.865
1032.833	27.440	178.814	973.801	639.204	0.854	25.103	25.181	3.000	6.862	81446.480	26.449
1033.834	27.474	178.840	981.761	637.263	0.856	25.051	25.116	2.972	6.922	81443.196	26.741
1034.834	27.354	178.984	980.705	636.393	0.855	25.052	25.131	2.974	6.911	81419.584	26.968
1035.833	27.450	178.728	975.664	635.270	0.856	24.949	25.050	2.969	6.892	81377.342	26.527
1036.833	27.468	178.616	971.989	636.051	0.854	25.011	25.090	2.968	6.872	81364.529	26.406
1037.834	27.498	178.613	968.458	636.197	0.851	24.980	25.066	2.960	6.872	81360.760	26.554
1038.834	27.526	178.727	967.958	636.340	0.854	24.972	25.041	2.955	6.882	81369.528	26.652
1039.835	27.451	178.677	966.378	636.606	0.849	25.018	25.109	2.961	6.882	81361.585	26.289
1040.837	27.483	178.848	965.679	637.425	0.847	25.002	25.095	2.945	6.912	81387.195	26.730
1041.837	27.609	178.795	964.069	638.079	0.856	25.018	25.118	2.958	6.932	81386.880	26.559
1042.836	27.473	178.994	964.957	637.915	0.855	24.985	25.081	2.950	6.902	81399.159	26.887
1043.836	27.373	178.777	963.921	638.344	0.851	25.074	25.138	2.953	6.912	81395.268	26.598
1044.837	27.512	178.777	963.545	638.586	0.846	25.060	25.150	2.964	6.922	81417.853	27.048
1045.836	27.478	178.632	963.943	639.044	0.853	24.996	25.069	2.962	6.872	81408.478	26.826
1046.837	27.335	178.777	961.802	640.542	0.846	25.016	25.088	2.948	6.822	81389.638	26.858
1047.837	27.453	178.740	962.154	639.794	0.852	24.999	25.104	2.955	6.832	81387.947	26.794
1048.836	27.521	178.749	961.773	640.246	0.857	25.037	25.117	2.949	6.832	81393.545	26.905
1049.836	27.567	178.583	964.758	640.437	0.851	25.045	25.141	2.957	6.802	81401.618	26.571
1050.836	27.391	178.821	966.395	639.501	0.857	25.024	25.083	2.959	6.862	81435.560	26.831
1051.836	27.440	178.673	964.741	639.836	0.854	24.978	25.088	2.960	6.902	81426.047	26.370
1052.836	27.573	178.702	962.306	639.949	0.854	25.026	25.118	2.957	6.892	81412.247	26.638
1053.836	27.675	178.797	960.047	639.973	0.854	25.006	25.090	2.934	6.892	81368.420	26.713
1054.836	27.680	178.825	961.011	640.172	0.853	25.035	25.131	2.962	6.872	81370.766	26.725
1055.838	27.649	178.775	961.717	640.056	0.852	24.966	25.065	2.941	6.862	81385.359	26.279
1056.838	27.835	179.171	963.442	640.234	0.850	24.963	25.044	2.949	6.842	81432.179	26.693
1057.838	28.019	179.196	963.450	640.828	0.861	25.008	25.097	2.962	6.872	81432.324	26.810
1058.837	28.106	179.303	965.202	640.410	0.848	25.052	25.127	2.945	6.892	81438.844	27.095
1059.837	27.851	179.150	963.970	641.485	0.859	25.050	25.146	2.935	6.931	81426.411	26.858
1060.837	27.886	179.048	961.536	641.764	0.850	25.048	25.140	2.957	6.932	81437.688	26.497
1061.838	27.729	179.172	958.255	641.856	0.846	24.990	25.086	2.935	6.892	81432.163	26.613
1062.838	27.745	179.006	954.798	642.491	0.854	25.024	25.115	2.952	6.921	81432.179	26.465
1063.838	27.881	178.991	955.557	642.935	0.848	25.053	25.150	2.955	6.930	81456.721	27.067
1064.837	27.935	179.033	955.293	643.160	0.850	25.011	25.103	2.957	6.932	81459.577	26.799
1065.837	27.766	179.000	954.544	644.090	0.853	24.995	25.084	2.956	6.922	81432.357	26.577
1066.838	27.783	178.860	954.053	643.635	0.844	24.980	25.058	2.948	6.922	81385.666	26.551
1067.837	27.938	178.921	957.620	642.531	0.844	25.033	25.104	2.992	6.932	81400.348	26.689
1068.837	27.678	178.884	963.833	640.793	0.850	25.028	25.061	2.985	6.912	81397.970	26.515
1069.837	27.698	178.864	965.924	639.245	0.855	25.035	25.090	2.970	6.912	81393.553	26.465
1070.837	27.673	179.061	963.570	638.444	0.857	25.025	25.113	2.941	6.902	81387.689	26.936
1071.839	27.589	179.012	962.796	638.357	0.851	25.013	25.086	2.951	6.931	81384.356	27.091
1072.839	27.412	178.862	961.145	637.474	0.852	25.033	25.113	2.966	6.924	81362.458	26.832
1073.839	27.341	178.780	960.606	637.478	0.851	25.041	25.134	2.950	6.852	81359.457	26.897
1074.838	27.414	178.891	960.265	638.127	0.858	25.043	25.116	2.964	6.852	81383.790	27.004
1075.839	27.347	178.637	959.577	637.974	0.850	25.028	25.112	2.958	6.842	81387.810	26.556
1076.840	27.343	178.625	959.644	638.038	0.855	25.109	25.168	2.958	6.832	81397.048	26.416
1077.839	27.402	178.902	959.940	638.035	0.850	25.041	25.120	2.962	6.882	81420.288	26.828
1078.840	27.424	178.917	960.328	638.770	0.851	25.011	25.107	2.955	6.912	81421.315	26.924
1079.840	27.472	178.626	959.511	639.048	0.850	25.057	25.145	2.956	6.912	81412.005	26.530
1080.841	27.497	178.574	959.109	639.407	0.858	25.050	25.142	2.939	6.912	81410.985	26.659
1081.841	27.508	178.599	959.775	640.172	0.854	25.040	25.107	2.956	6.912	81398.237	26.607
1082.841	27.293	178.574	960.159	640.745	0.851	25.047	25.132	2.949	6.862	81387.591	26.350
1083.842	27.399	178.640	961.290	641.015	0.855	25.058	25.142	2.969	6.862	81409.424	26.682
1084.842	27.305	178.669	960.880	641.237	0.853	25.078	25.157	2.953	6.902	81421.404	26.713
1085.843	27.300	178.513	960.072	641.640	0.855	25.098	25.194	2.951	6.902	81423.038	26.383
1086.842	27.329	178.570	960.913	641.748	0.853	25.103	25.170	2.951	6.912	81431.467	26.361
1087.842	27.401	178.816	962.408	641.454	0.857	25.042	25.117	2.944	6.942	81435.827	26.858
1088.842	27.478	178.664	961.683	641.909	0.853	25.026	25.118	2.940	6.962	81422.440	26.459
1089.842	27.513	178.658	961.822	642.722	0.854	25.011	25.082	2.944	6.932	81412.077	26.250
1090.844	27.613	178.728	962.037	642.380	0.850	25.040	25.122	2.937	6.882	81416.850	26.170
1091.844	27.610	178.832	962.225	642.243	0.850	25.070	25.164	2.950	6.832	81418.476	26.747
1092.844	27.807	178.922	964.620	642.790	0.850	25.035	25.124	2.948	6.832	81445.065	26.545
1093.845	27.615	179.001	964.544	643.203	0.854	25.052	25.147	2.953	6.801	81433.740	26.358
1094.846	27.597	178.871	961.447	642.910	0.851	25.040	25.120	2.938	6.862	81427.681	26.159
1095.846	27.562	178.949	961.753	642.896	0.854	25.115	25.167	2.986	6.892	81424.292	26.467
1096.845	27.541	179.038	967.074	641.111	0.857	25.021	25.083	2.979	6.898	81420.935	26.387
1097.845	27.713	179.113	970.004	638.927	0.849	24.970	25.028	2.983	6.951	81415.572	26.709
1098.846	27.618	178.870	972.094	637.157	0.853	24.889	24.949	2.986	6.912	81357.540	26.239
1099.846	27.635	178.803	968.300	634.380	0.764	19.105	19.044	2.075	6.902	81146.332	21.715
1100.846	27.926	173.088	912.183	623.648	0.461	12.440	12.466	1.247	3.444	71796.664	16.490
1101.846	27.997	162.242	847.190	612.447	0.331	9.034	9.040	0.862	3.363	61845.543	14.550
1102.845	28.034	151.697	794.279	599.764	0.251	7.349	7.408	0.753	2.973	54583.792	13.966
1103.845	28.273	142.834	757.233	589.103	0.214	6.515	6.590	0.657	3.153	51792.700	13.554
1104.845	28.428	135.794	734.828	579.613	0.195	6.085	6.166	0.623	3.293	47929.660	13.297
1105.845	28.809	130.275	720.544	570.714	0.184	5.866	5.953	0.602	3.343	46598.827	13.111
1106.846	28.887	126.024	711.084	563.327	0.179	4.441	4.504	0.519	1.862	45560.134	12.656
1107.846	28.993	121.594	670.520	552.994	0.119	2.813	2.911	0.325	-0.048	38268.735	11.483
1108.845	29.149	117.508	623.143	541.234	0.076	1.900	2.017	0.214	-0.048	33033.296	11.232
1109.846	29.117	113.772	579.696	530.538	0.050	1.371	1.513	0.155	-0.048	28199.484	10.618
1110.846	29.249	110.977	542.010	519.693	0.034	1.038	1.193	0.130	-0.048	23930.026	10.683
1111.845	29.524	108.585	509.505	509.034	0.023	0.808	0.972	0.107	-0.048	20685.324	10.341
1112.845	29.683	106.776	481.309	500.222	0.016	0.646	0.817	0.092	-0.048	18141.787	10.089
1113.846	29.729	105.789	458.108	491.198	0.011	0.538	0.711	0.083	-0.048	16140.707	10.317
1114.848	30.001	104.726	436.366	481.724	0.007	0.451	0.628	0.075	-0.048	14512.997	10.449
1115.849	30.241	103.939	418.619	473.486	0.004	0.383	0.564	0.069	-0.048	13150.805	10.310
1116.849	30.242	103.476	402.439	465.924	0.001	0.332	0.515	0.064	-0.048	12009.591	10.094
1117.850	30.667	102.847	388.437	458.657	-0.001	0.292	0.476	0.060	-0.048	11052.033	9.964
1118.850	30.722	102.432	376.392	452.117	-0.002	0.261	0.448	0.058	-0.048	10369.360	9.728
