0,0,-0.004742861,-5.781651E-06,-0.004849881,-0.0049209,0,0.004835367,0,0.00480172,4.440546E-06,2.086163E-07,0.00997135,0,0,7.748604E-07,-4.291534E-06,0.009714127,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1,1000,-0.004742861,0.004880816,2.160668E-07,-0.0049209,0,-0.004835367,0.004758954,0.009617448,4.440546E-06,-0.004879981,8.940697E-08,0.005555153,0,7.748604E-07,-4.291534E-06,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2,2000,-0.004742861,0.004880816,2.160668E-07,-0.0049209,0,-0.004835367,0,0.00480172,0.004963309,-0.004879981,0.00498572,0.005555153,-0.004796207,7.748604E-07,-4.291534E-06,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
3,3000,-0.004742861,0.004880816,-0.004849881,6.556511E-07,0,0,0,0.00480172,4.440546E-06,2.086163E-07,0.004984736,0,0,7.748604E-07,-4.291534E-06,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4,4000,-0.004742861,-5.781651E-06,-0.004849881,6.556511E-07,0,0,0.009517908,0.00480172,4.440546E-06,2.086163E-07,0.00997135,0.005555153,-0.004796207,-0.004767179,-4.291534E-06,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
5,5000,-0.004742861,0.004880816,-0.004850835,6.556511E-07,0.004990906,-0.004835367,0.004758954,0.00480172,4.440546E-06,-0.004879981,8.940697E-08,0,-0.004796207,7.748604E-07,-4.291534E-06,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
6,6000,-0.004742861,-5.781651E-06,2.160668E-07,6.556511E-07,-0.004990906,0,0.004758954,0.00480172,4.440546E-06,2.086163E-07,0.00498572,0,0,7.748604E-07,-4.291534E-06,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
7,7000,-0.004742861,0.004880816,-0.004850835,6.556511E-07,0,0,0.004758954,0.009617448,4.440546E-06,2.086163E-07,0.00498572,0,0,7.748604E-07,-4.291534E-06,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
8,8000,-0.004742861,-0.004892379,-0.004850835,6.556511E-07,0,0,0.004758954,0.00480172,4.440546E-06,2.086163E-07,0.00498572,0,-0.004796207,7.748604E-07,0.004846632,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
9,9000,-0.004742861,-5.781651E-06,2.160668E-07,6.556511E-07,0.004990906,0,0.004758954,0.00480172,4.440546E-06,2.086163E-07,0.00498572,0,0,7.748604E-07,-4.291534E-06,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
10,10000,-0.004742861,0.004880816,-0.004849881,-0.0049209,-0.004990906,0,0.004758954,0.00480172,4.440546E-06,-0.004879981,0.00997135,0.005556136,0,7.748604E-07,-0.004855156,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
11,11000,-0.01897126,24.1452,21.18546,44.92562,9.198133,8.309352,4.154557,7.423795,6.332469,0.3170191,4.302599,0.2500832,2.292147,4.122735,5.023148,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
12,12000,-0.01422846,78.11214,58.50239,61.66895,31.05118,23.95881,10.37449,24.4673,21.36447,1.668007,15.2311,1.372685,10.49208,13.13079,13.66334,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
13,13000,-0.01422846,77.64879,57.92634,60.7898,34.0726,25.43192,10.83611,26.17944,23.9641,2.999487,17.7221,2.467499,14.46257,14.20794,14.42942,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
14,14000,-0.01422846,76.5904,57.0889,59.91557,33.79838,25.29185,10.64575,25.92935,24.22159,4.287071,18.24512,3.490067,15.52233,14.06496,14.26942,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
15,15000,-0.01897126,75.5564,56.27566,59.06589,33.29481,24.91995,10.41257,25.49651,23.9542,5.521007,18.16542,4.462618,15.49356,13.76945,13.9785,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
16,16000,-0.009485662,74.5858,55.49147,58.23095,32.81118,24.55288,10.17938,25.05885,23.56302,6.696415,17.90142,5.379595,15.23461,13.45489,13.6585,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
17,17000,-0.02371407,73.54692,54.66854,57.39109,32.32755,24.16167,9.94619,24.61158,23.14707,7.798665,17.57765,6.224325,14.91333,13.13079,13.34819,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
18,18000,-0.01897126,72.63486,53.94728,56.64946,31.87384,23.76079,9.727278,24.19797,22.74104,8.837511,17.23395,7.007923,14.60163,12.83529,13.05727,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
19,19000,-0.01897126,71.61549,53.1292,55.78996,31.40018,23.36474,9.49885,23.7507,22.32014,9.808077,16.88527,7.70816,14.27556,12.52072,12.74211,0.004855096,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
20,20000,-0.01897126,70.70341,52.41278,55.04834,30.95644,22.9542,9.289455,23.3419,21.91906,10.70061,16.53658,8.347264,13.96386,12.22998,12.44635,-2.920628E-06,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
